+COPN: "40474","CellOne"
+COPN: "40475","CellOne"
+COPN: "40476","CellOne"
+COPN: "40477","CellOne"
+COPN: "40478","Vi India"
+COPN: "40479","CellOne"
+COPN: "40480","CellOne"
+COPN: "40481","CellOne"
+COPN: "40482","Vi India"
+COPN: "40484","Vi India"
+COPN: "40486","Vi India"
+COPN: "40490","IND airtel"
+COPN: "40491","Aircel"
+COPN: "40492","IND airtel"
+COPN: "40493","IND airtel"
+COPN: "40494","IND airtel"
+COPN: "40495","IND airtel"
+COPN: "40496","IND airtel"
+COPN: "40497","IND airtel"
+COPN: "40498","IND airtel"
+COPN: "40501","Reliance"
+COPN: "40503","Reliance"
+COPN: "40504","Reliance"
+COPN: "40505","Reliance"
+COPN: "40506","Reliance"
+COPN: "40507","Reliance"
+COPN: "40508","Reliance"
+COPN: "40509","Reliance"
+COPN: "40510","Reliance"
+COPN: "40511","Reliance"
+COPN: "40512","Reliance"
+COPN: "40513","Reliance"
+COPN: "40514","Reliance"
+COPN: "40515","Reliance"
+COPN: "40517","Reliance"
+COPN: "40518","Reliance"
+COPN: "40519","Reliance"
+COPN: "40520","Reliance"
+COPN: "40521","Reliance"
+COPN: "40522","Reliance"
+COPN: "40523","Reliance"
+COPN: "40550","Reliance"
+COPN: "40551","IND airtel"
+COPN: "40552","IND airtel"
+COPN: "40553","IND airtel"
+COPN: "40554","IND airtel"
+COPN: "40555","IND airtel"
+COPN: "40556","IND airtel"
+COPN: "40567","Vi India"
+COPN: "40570","Vi India"
+COPN: "405751","Vi India"
+COPN: "405753","Vi India"
+COPN: "405755","Vi India"
+COPN: "405823","VIDEOCON"
+COPN: "405824","VIDEOCON"
+COPN: "405825","VIDEOCON"
+COPN: "405827","VIDEOCON"
+COPN: "405828","VIDEOCON"
+COPN: "405829","VIDEOCON"
+COPN: "405830","VIDEOCON"
+COPN: "405831","VIDEOCON"
+COPN: "405832","VIDEOCON"
+COPN: "405833","VIDEOCON"
+COPN: "405834","VIDEOCON"
+COPN: "405835","VIDEOCON"
+COPN: "405836","VIDEOCON"
+COPN: "405837","VIDEOCON"
+COPN: "405838","VIDEOCON"
+COPN: "405839","VIDEOCON"
+COPN: "405840","IND-JIO"
+COPN: "405841","VIDEOCON"
+COPN: "405842","VIDEOCON"
+COPN: "405843","VIDEOCON"
+COPN: "405846","Vi India"
+COPN: "405854","IND-JIO"
+COPN: "405855","IND-JIO"
+COPN: "405856","IND-JIO"
+COPN: "405857","IND-JIO"
+COPN: "405858","IND-JIO"
+COPN: "405859","IND-JIO"
+COPN: "405860","IND-JIO"
+COPN: "405861","IND-JIO"
+COPN: "405862","IND-JIO"
+COPN: "405863","IND-JIO"
+COPN: "405864","IND-JIO"
+COPN: "405865","IND-JIO"
+COPN: "405866","IND-JIO"
+COPN: "405867","IND-JIO"
+COPN: "405868","IND-JIO"
+COPN: "405869","IND-JIO"
+COPN: "405870","IND-JIO"
+COPN: "405871","IND-JIO"
+COPN: "405872","IND-JIO"
+COPN: "405873","IND-JIO"
+COPN: "405874","IND-JIO"
+COPN: "405912","etisalat"
+COPN: "405913","etisalat"
+COPN: "405914","etisalat"
+COPN: "405915","etisalat"
+COPN: "405916","etisalat"
+COPN: "405917","etisalat"
+COPN: "405918","etisalat"
+COPN: "405919","etisalat"
+COPN: "405920","etisalat"
+COPN: "405921","etisalat"
+COPN: "405922","etisalat"
+COPN: "405923","etisalat"
+COPN: "405924","etisalat"
+COPN: "41001","Jazz"
+COPN: "41003","PK-UFONE"
+COPN: "41004","ZONG"
+COPN: "41005","SCOM-PK"
+COPN: "41006","Telenor PK"
+COPN: "41007","Jazz"
+COPN: "41201","AF AWCC"
+COPN: "41220","ROSHAN"
+COPN: "41240","MTN AF"
+COPN: "41250","Etisalat Af"
+COPN: "41301","Mobitel LK"
+COPN: "41302","DIALOG"
+COPN: "41303","Hutch"
+COPN: "41305","SRI AIRTEL"
+COPN: "41308","Hutch"
+COPN: "41309","Hutch"
+COPN: "41401","MM 900"
+COPN: "41405","Ooredoo"
+COPN: "41406","Telenor"
+COPN: "41409","MYTEL"
+COPN: "41501","alfa"
+COPN: "41503","touch"
+COPN: "41505","LBN OGERO Mobile"
+COPN: "41601","Zain JO"
+COPN: "41603","UMNIAH"
+COPN: "41677","Orange JO"
+COPN: "41709","SYR MOBILE SYR"
+COPN: "41800","ASIACELL"
+COPN: "41805","ASIACELL"
+COPN: "41820","zain IQ"
+COPN: "41830","IRAQNA"
+COPN: "41840","KOREK"
+COPN: "41902","Zain KW"
+COPN: "41903","Ooredoo"
+COPN: "41904","stc Kuwait"
+COPN: "42001","stc"
+COPN: "42003","Mobily-KSA"
+COPN: "42004","Zain KSA"
+COPN: "42101","SabaFon"
+COPN: "42102","MTN"
+COPN: "42202","Omantel"
+COPN: "42203","Ooredoo Oman"
+COPN: "42402","ETISALAT"
+COPN: "42403","du"
+COPN: "42501","Partner IL"
+COPN: "42502","Cellcom IL"
+COPN: "42503","IL Pelephone"
+COPN: "42505","JAWWAL-PALESTINE"
+COPN: "42506","Ooredoo Palestine"
+COPN: "42507","Hot Mobile Ltd."
+COPN: "42508","Golan IL"
+COPN: "42528","Hot Mobile Ltd."
+COPN: "42601","BATELCO"
+COPN: "42602","Zain BH"
+COPN: "42604","stc"
+COPN: "42701","Ooredoo"
+COPN: "42702","vodafone"
+COPN: "42801","Skytel MN"
+COPN: "42888","MONGOLIA UNITEL LLC"
+COPN: "42899","MN MobiCom"
+COPN: "42901","Nepal Telecom"
+COPN: "42902","Ncell"
+COPN: "42904","SmartCell"
+COPN: "43219","IR MTCE"
+COPN: "43404","Beeline UZ"
+COPN: "43405","UZB Ucell"
+COPN: "43407","UMS-UZB"
+COPN: "43408","UzMobile"
+COPN: "43601","TCELL"
+COPN: "43602","TCELL"
+COPN: "43603","MegaFon TJK"
+COPN: "43604","Babilon-M"
+COPN: "43605","ZET-MOBILE"
+COPN: "43612","INDIGO-3G"
+COPN: "43701","Beeline KG"
+COPN: "43705","MegaCom"
+COPN: "43709","O!"
+COPN: "43802","TM CELL"
+COPN: "44010","JP DOCOMO"
+COPN: "44020","SoftBank"
+COPN: "44050","KDDI"
+COPN: "44051","KDDI"
+COPN: "45005","KOR SK Telecom"
+COPN: "45006","KOR LG Uplus"
+COPN: "45008","KT"
+COPN: "45010","KOR LG Uplus"
+COPN: "45201","VN Mobifone"
+COPN: "45202","VN VINAPHONE"
+COPN: "45204","VIETTEL"
+COPN: "45205","Vietnamobile"
+COPN: "45400","CSL"
+COPN: "45402","CSL"
+COPN: "45403","3"
+COPN: "45404","3"
+COPN: "45406","SmarTone HK"
+COPN: "45410","CSL"
+COPN: "45412","China Mobile HK"
+COPN: "45413","China Mobile HK"
+COPN: "45415","SmarTone HK"
+COPN: "45416","CSL"
+COPN: "45417","SmarTone HK"
+COPN: "45418","CSL"
+COPN: "45419","CSL"
+COPN: "45420","CSL"
+COPN: "45500","SmarTone MAC"
+COPN: "45501","CTM"
+COPN: "45503","3 Macau"
+COPN: "45504","CTM"
+COPN: "45505","3 Macau"
+COPN: "45507","China Telecom"
+COPN: "45601","Cellcard"
+COPN: "45602","Smart"
+COPN: "45604","qb"
+COPN: "45605","Smart"
+COPN: "45606","Smart"
+COPN: "45608","Metfone"
+COPN: "45611","KH SEATEL"
+COPN: "45701","LAO GSM"
+COPN: "45702","ETL MOBILE NETWORK"
+COPN: "45703","Unitel"
+COPN: "45708","TPLUS"
+COPN: "46000","CHINA MOBILE"
+COPN: "46001","CHN-UNICOM"
+COPN: "46002","CHINA MOBILE"
+COPN: "46004","CHINA MOBILE"
+COPN: "46007","CHINA MOBILE"
+COPN: "46008","CHINA MOBILE"
+COPN: "46009","CHN-UNICOM"
+COPN: "46011","CHN-CT"
+COPN: "46601","Far EasTone"
+COPN: "46605","TWN APT"
+COPN: "46612","TWN APT"
+COPN: "46688","KGT-Online"
+COPN: "46689","T Star"
+COPN: "46692","Chunghwa Telecom"
+COPN: "46693","TWN MOBITAI"
+COPN: "46697","TW Mobile"
+COPN: "46699","TWM TransAsi"
+COPN: "46703","KP SUN"
+COPN: "47001","Grameenphone"
+COPN: "47002","robi axiata"
+COPN: "47003","Banglalink"
+COPN: "47004","BGD bMobile"
+COPN: "47007","Airtel"
+COPN: "47201","DHIRAAGU"
+COPN: "47202","Ooredoo Maldives PVT LTD"
+COPN: "50200","TIME3G"
+COPN: "50201","TIME3G"
+COPN: "50212","MY MAXIS"
+COPN: "50213","MY CELCOM 3G"
+COPN: "50216","Digi"
+COPN: "50218","U MOBILE"
+COPN: "50219","MY CELCOM"
+COPN: "502152","Yes 4G"
+COPN: "502153","unifi"
+COPN: "50501","Telstra Mobile"
+COPN: "50502","Optus AU"
+COPN: "50503","vodafone AU"
+COPN: "50510","Norfolk Telecom"
+COPN: "50550","Pivotel"
+COPN: "50571","Telstra Mobile"
+COPN: "50572","Telstra Mobile"
+COPN: "51001","IND INDOSAT"
+COPN: "51008","IND XL"
+COPN: "51009","Smartfren"
+COPN: "51010","IND TELKOMSEL"
+COPN: "51011","IND XL"
+COPN: "51021","IND INDOSAT"
+COPN: "51028","Smartfren"
+COPN: "51089","3"
+COPN: "51401","TLS-TC"
+COPN: "51402","TLS-TT"
+COPN: "51501","ISLACOM"
+COPN: "51502","Globe Telecom-PH"
+COPN: "51503","SMART"
+COPN: "51505","PH Sun Cellular"
+COPN: "51518","CURE"
+COPN: "52000","TH 3G+"
+COPN: "52001","AIS"
+COPN: "52003","AIS"
+COPN: "52004","TRUE-H"
+COPN: "52005","dtac TriNet"
+COPN: "520015","TH ACT 1900"
+COPN: "52015","TOT Mobile"
+COPN: "52047","TOT Mobile"
+COPN: "52099","TRUE-H"
+COPN: "52501","Singtel"
+COPN: "52502","Singtel"
+COPN: "52503","SGP-M1"
+COPN: "52505","StarHub"
+COPN: "52507","SGP Call Zone"
+COPN: "52508","StarHub"
+COPN: "52510","TPG SG"
+COPN: "52801","Imagine"
+COPN: "52802","PCSB"
+COPN: "52803","UNN"
+COPN: "52811","DSTCom"
+COPN: "53001","vodafone NZ"
+COPN: "53005","Spark NZ"
+COPN: "53024","2degrees"
+COPN: "53601","PacCell"
+COPN: "53701","bmobile"
+COPN: "53703","DIGICEL"
+COPN: "53901","U-CALL"
+COPN: "53988","Digicel Tonga"
+COPN: "54001","Our Telekom"
+COPN: "54002","bmobile"
+COPN: "54101","VUT SMILE"
+COPN: "54105","Digicel"
+COPN: "54201","FJ VODAFONE"
+COPN: "54202","DIGICEL"
+COPN: "54301","Manuia"
+COPN: "544011","Blue Sky"
+COPN: "544110","Bluesky Communications"
+COPN: "544544","Blue Sky Communications"
+COPN: "54601","NCL MOBILIS"
+COPN: "54705","VITI"
+COPN: "54715","VODAFONE PF"
+COPN: "54720","F-VINI"
+COPN: "54801","CK KOKANET"
